ds,y
2024-06-06,4560.0
2024-06-07,4560.0
2024-06-10,4510.0
2024-06-11,4350.0
2024-06-12,4360.0
2024-06-13,4460.0
2024-06-14,4420.0
2024-06-19,4450.0
2024-06-20,4450.0
2024-06-21,4490.0
2024-06-24,4430.0
2024-06-25,4400.0
2024-06-26,4420.0
2024-06-27,4430.0
2024-06-28,4460.0
2024-07-01,4620.0
2024-07-02,4530.0
2024-07-03,4570.0
2024-07-04,4550.0
2024-07-05,4580.0
2024-07-08,4640.0
2024-07-09,4560.0
2024-07-10,4540.0
2024-07-11,4510.0
2024-07-12,4540.0
2024-07-15,4470.0
2024-07-16,4380.0
2024-07-17,4460.0
2024-07-18,4540.0
2024-07-19,4530.0
2024-07-22,4520.0
2024-07-23,4450.0
2024-07-24,4530.0
2024-07-25,4490.0
2024-07-26,4610.0
2024-07-29,4610.0
2024-07-30,4540.0
2024-07-31,4720.0
2024-08-01,4740.0
2024-08-02,4690.0
2024-08-05,4560.0
2024-08-06,4610.0
2024-08-07,4630.0
2024-08-08,4740.0
2024-08-09,4760.0
2024-08-12,4760.0
2024-08-13,4760.0
2024-08-14,4890.0
2024-08-15,4890.0
2024-08-16,4970.0
2024-08-19,5025.0
2024-08-20,5125.0
2024-08-21,5075.0
2024-08-22,5000.0
2024-08-23,5100.0
2024-08-26,5150.0
2024-08-27,5150.0
2024-08-28,5025.0
2024-08-29,5075.0
2024-08-30,5100.0
2024-09-02,5200.0
2024-09-03,5125.0
2024-09-04,5050.0
2024-09-05,5075.0
2024-09-06,5050.0
2024-09-09,5025.0
2024-09-10,5025.0
2024-09-11,5025.0
2024-09-12,5025.0
2024-09-13,5075.0
2024-09-17,5075.0
2024-09-18,5250.0
2024-09-19,5275.0
2024-09-20,5225.0
2024-09-23,5225.0
2024-09-24,5275.0
2024-09-25,5225.0
2024-09-26,5250.0
2024-09-27,5100.0
2024-09-30,5050.0
2024-10-01,5175.0
2024-10-02,5150.0
2024-10-03,5250.0
2024-10-04,5150.0
2024-10-07,5100.0
2024-10-08,5225.0
2024-10-09,5075.0
2024-10-10,5125.0
2024-10-11,5075.0
2024-10-14,4930.0
2024-10-15,4930.0
2024-10-16,4960.0
2024-10-17,4950.0
2024-10-18,4920.0
2024-10-21,5100.0
2024-10-22,5275.0
2024-10-23,5300.0
2024-10-24,5275.0
2024-10-25,5225.0
2024-10-28,5250.0
2024-10-29,5125.0
2024-10-30,5200.0
2024-10-31,5100.0
2024-11-01,5075.0
2024-11-04,5125.0
2024-11-05,5175.0
2024-11-06,5050.0
2024-11-07,5000.0
2024-11-08,4960.0
2024-11-11,4970.0
2024-11-12,4970.0
2024-11-13,5025.0
2024-11-14,4950.0
2024-11-15,4940.0
2024-11-18,4930.0
2024-11-19,4970.0
2024-11-20,5000.0
2024-11-21,4890.0
2024-11-22,4910.0
2024-11-25,5175.0
2024-11-26,5150.0
2024-11-28,5125.0
2024-11-29,5100.0
2024-12-02,4940.0
2024-12-03,5125.0
2024-12-04,5225.0
2024-12-05,5200.0
2024-12-06,5150.0
2024-12-09,5225.0
2024-12-10,5225.0
2024-12-11,5250.0
2024-12-12,5100.0
2024-12-13,5125.0
2024-12-16,5125.0
2024-12-17,4980.0
2024-12-18,5000.0
2024-12-19,4880.0
2024-12-20,4870.0
2024-12-23,4950.0
2024-12-24,4880.0
2024-12-27,4930.0
2024-12-30,4900.0
2025-01-02,4950.0
2025-01-03,4950.0
2025-01-06,4860.0
2025-01-07,4920.0
2025-01-08,4810.0
2025-01-09,4930.0
2025-01-10,4910.0
